Diameter Calculation Trace
Parsing Dijkstra's result file: ../member 1/results/dijkstra_shortest_path.txt
----------------------------------------
Processing Node: 0, Distance: INF, Path: No Path
  Skipping Node 0 as it has no valid path (Distance = INF).
Processing Node: 1, Distance: 0, Path: 1
Processing Node: 2, Distance: 1, Path: 1 -> 2
  Updating maximum distance. Previous: 0, New: 1
Processing Node: 3, Distance: 2, Path: 1 -> 2 -> 3
  Updating maximum distance. Previous: 1, New: 2
Processing Node: 4, Distance: 2, Path: 1 -> 4
Processing Node: 5, Distance: 2, Path: 1 -> 2 -> 5
Processing Node: 6, Distance: 2, Path: 1 -> 115 -> 6
Processing Node: 7, Distance: 2, Path: 1 -> 29 -> 7
Processing Node: 8, Distance: 2, Path: 1 -> 75 -> 8
Processing Node: 9, Distance: 2, Path: 1 -> 9
Processing Node: 10, Distance: 2, Path: 1 -> 29 -> 10
Processing Node: 11, Distance: 2, Path: 1 -> 72 -> 11
Processing Node: 12, Distance: 2, Path: 1 -> 116 -> 12
Processing Node: 13, Distance: 2, Path: 1 -> 75 -> 13
Processing Node: 14, Distance: 2, Path: 1 -> 75 -> 14
Processing Node: 15, Distance: 2, Path: 1 -> 15
Processing Node: 16, Distance: 2, Path: 1 -> 2 -> 16
Processing Node: 17, Distance: 2, Path: 1 -> 38 -> 17
Processing Node: 18, Distance: 2, Path: 1 -> 2 -> 18
Processing Node: 19, Distance: 2, Path: 1 -> 72 -> 19
Processing Node: 20, Distance: 2, Path: 1 -> 304 -> 20
Processing Node: 21, Distance: 2, Path: 1 -> 42 -> 21
Processing Node: 22, Distance: 2, Path: 1 -> 22
Processing Node: 23, Distance: 3, Path: 1 -> 90 -> 40 -> 23
  Updating maximum distance. Previous: 2, New: 3
Processing Node: 24, Distance: 2, Path: 1 -> 72 -> 24
Processing Node: 25, Distance: 2, Path: 1 -> 2 -> 25
Processing Node: 26, Distance: 2, Path: 1 -> 38 -> 26
Processing Node: 27, Distance: 2, Path: 1 -> 67 -> 27
Processing Node: 28, Distance: 2, Path: 1 -> 955 -> 28
Processing Node: 29, Distance: 1, Path: 1 -> 29
Processing Node: 30, Distance: 2, Path: 1 -> 90 -> 30
Processing Node: 31, Distance: 2, Path: 1 -> 96 -> 31
Processing Node: 32, Distance: 2, Path: 1 -> 95 -> 32
Processing Node: 33, Distance: 2, Path: 1 -> 29 -> 33
Processing Node: 34, Distance: 2, Path: 1 -> 67 -> 34
Processing Node: 35, Distance: 2, Path: 1 -> 2 -> 35
Processing Node: 36, Distance: 2, Path: 1 -> 155 -> 36
Processing Node: 37, Distance: 2, Path: 1 -> 38 -> 37
Processing Node: 38, Distance: 1, Path: 1 -> 38
Processing Node: 39, Distance: 2, Path: 1 -> 2 -> 39
Processing Node: 40, Distance: 2, Path: 1 -> 90 -> 40
Processing Node: 41, Distance: 2, Path: 1 -> 42 -> 41
Processing Node: 42, Distance: 1, Path: 1 -> 42
Processing Node: 43, Distance: 2, Path: 1 -> 2 -> 43
Processing Node: 44, Distance: 2, Path: 1 -> 2 -> 44
Processing Node: 45, Distance: 3, Path: 1 -> 175 -> 45
Processing Node: 46, Distance: 2, Path: 1 -> 373 -> 46
Processing Node: 47, Distance: 2, Path: 1 -> 95 -> 47
Processing Node: 48, Distance: 2, Path: 1 -> 42 -> 48
Processing Node: 49, Distance: 2, Path: 1 -> 115 -> 49
Processing Node: 50, Distance: 2, Path: 1 -> 370 -> 50
Processing Node: 51, Distance: 2, Path: 1 -> 42 -> 51
Processing Node: 52, Distance: 2, Path: 1 -> 2 -> 52
Processing Node: 53, Distance: 2, Path: 1 -> 330 -> 53
Processing Node: 54, Distance: 3, Path: 1 -> 95 -> 145 -> 54
Processing Node: 55, Distance: 2, Path: 1 -> 491 -> 55
Processing Node: 56, Distance: 2, Path: 1 -> 95 -> 56
Processing Node: 57, Distance: 2, Path: 1 -> 57
Processing Node: 58, Distance: 2, Path: 1 -> 42 -> 58
Processing Node: 59, Distance: 2, Path: 1 -> 116 -> 59
Processing Node: 60, Distance: 2, Path: 1 -> 1482 -> 60
Processing Node: 61, Distance: 3, Path: 1 -> 373 -> 46 -> 61
Processing Node: 62, Distance: 2, Path: 1 -> 42 -> 62
Processing Node: 63, Distance: 2, Path: 1 -> 2 -> 63
Processing Node: 64, Distance: 2, Path: 1 -> 38 -> 64
Processing Node: 65, Distance: 2, Path: 1 -> 2 -> 65
Processing Node: 66, Distance: 2, Path: 1 -> 38 -> 66
Processing Node: 67, Distance: 1, Path: 1 -> 67
Processing Node: 68, Distance: 1, Path: 1 -> 68
Processing Node: 69, Distance: 2, Path: 1 -> 90 -> 69
Processing Node: 70, Distance: 2, Path: 1 -> 75 -> 70
Processing Node: 71, Distance: 2, Path: 1 -> 71
Processing Node: 72, Distance: 1, Path: 1 -> 72
Processing Node: 73, Distance: 2, Path: 1 -> 95 -> 73
Processing Node: 74, Distance: 2, Path: 1 -> 625 -> 74
Processing Node: 75, Distance: 1, Path: 1 -> 75
Processing Node: 76, Distance: 1, Path: 1 -> 76
Processing Node: 77, Distance: 2, Path: 1 -> 76 -> 77
Processing Node: 78, Distance: 2, Path: 1 -> 76 -> 78
Processing Node: 79, Distance: 2, Path: 1 -> 76 -> 79
Processing Node: 80, Distance: 2, Path: 1 -> 117 -> 80
Processing Node: 81, Distance: 2, Path: 1 -> 42 -> 81
Processing Node: 82, Distance: 2, Path: 1 -> 95 -> 82
Processing Node: 83, Distance: 2, Path: 1 -> 2 -> 83
Processing Node: 84, Distance: 2, Path: 1 -> 42 -> 84
Processing Node: 85, Distance: 2, Path: 1 -> 2 -> 85
Processing Node: 86, Distance: 2, Path: 1 -> 1590 -> 86
Processing Node: 87, Distance: 2, Path: 1 -> 87
Processing Node: 88, Distance: 2, Path: 1 -> 179 -> 88
Processing Node: 89, Distance: 2, Path: 1 -> 2 -> 89
Processing Node: 90, Distance: 1, Path: 1 -> 90
Processing Node: 91, Distance: 3, Path: 1 -> 625 -> 91
Processing Node: 92, Distance: 2, Path: 1 -> 174 -> 92
Processing Node: 93, Distance: 2, Path: 1 -> 2 -> 93
Processing Node: 94, Distance: 2, Path: 1 -> 96 -> 94
Processing Node: 95, Distance: 1, Path: 1 -> 95
Processing Node: 96, Distance: 1, Path: 1 -> 96
Processing Node: 97, Distance: 2, Path: 1 -> 2 -> 97
Processing Node: 98, Distance: 2, Path: 1 -> 1590 -> 98
Processing Node: 99, Distance: 2, Path: 1 -> 72 -> 99
Processing Node: 100, Distance: 2, Path: 1 -> 124 -> 100
Processing Node: 101, Distance: 2, Path: 1 -> 304 -> 101
Processing Node: 102, Distance: 2, Path: 1 -> 29 -> 102
Processing Node: 103, Distance: 2, Path: 1 -> 95 -> 103
Processing Node: 104, Distance: 2, Path: 1 -> 95 -> 104
Processing Node: 105, Distance: 2, Path: 1 -> 95 -> 105
Processing Node: 106, Distance: 2, Path: 1 -> 124 -> 106
Processing Node: 107, Distance: 2, Path: 1 -> 116 -> 107
Processing Node: 108, Distance: 2, Path: 1 -> 300 -> 108
Processing Node: 109, Distance: 2, Path: 1 -> 42 -> 109
Processing Node: 110, Distance: 2, Path: 1 -> 29 -> 110
Processing Node: 111, Distance: 2, Path: 1 -> 2 -> 111
Processing Node: 112, Distance: 2, Path: 1 -> 396 -> 112
Processing Node: 113, Distance: 2, Path: 1 -> 113
Processing Node: 114, Distance: 2, Path: 1 -> 96 -> 114
Processing Node: 115, Distance: 1, Path: 1 -> 115
Processing Node: 116, Distance: 1, Path: 1 -> 116
Processing Node: 117, Distance: 1, Path: 1 -> 117
Processing Node: 118, Distance: 1, Path: 1 -> 118
Processing Node: 119, Distance: 3, Path: 1 -> 491 -> 119
Processing Node: 120, Distance: 2, Path: 1 -> 454 -> 120
Processing Node: 121, Distance: 2, Path: 1 -> 38 -> 121
Processing Node: 122, Distance: 2, Path: 1 -> 90 -> 122
Processing Node: 123, Distance: 1, Path: 1 -> 123
Processing Node: 124, Distance: 1, Path: 1 -> 124
Processing Node: 125, Distance: 2, Path: 1 -> 118 -> 125
Processing Node: 126, Distance: 2, Path: 1 -> 2 -> 126
Processing Node: 127, Distance: 2, Path: 1 -> 178 -> 127
Processing Node: 128, Distance: 2, Path: 1 -> 115 -> 128
Processing Node: 129, Distance: 3, Path: 1 -> 179 -> 88 -> 129
Processing Node: 130, Distance: 2, Path: 1 -> 76 -> 130
Processing Node: 131, Distance: 2, Path: 1 -> 90 -> 131
Processing Node: 132, Distance: 2, Path: 1 -> 72 -> 132
Processing Node: 133, Distance: 2, Path: 1 -> 75 -> 133
Processing Node: 134, Distance: 3, Path: 1 -> 72 -> 24 -> 134
Processing Node: 135, Distance: 2, Path: 1 -> 67 -> 135
Processing Node: 136, Distance: 2, Path: 1 -> 29 -> 136
Processing Node: 137, Distance: 2, Path: 1 -> 67 -> 137
Processing Node: 138, Distance: 3, Path: 1 -> 2 -> 16 -> 138
Processing Node: 139, Distance: 3, Path: 1 -> 2 -> 139
Processing Node: 140, Distance: 2, Path: 1 -> 155 -> 140
Processing Node: 141, Distance: 2, Path: 1 -> 292 -> 141
Processing Node: 142, Distance: 2, Path: 1 -> 142
Processing Node: 143, Distance: 2, Path: 1 -> 1285 -> 143
Processing Node: 144, Distance: 3, Path: 1 -> 462 -> 144
Processing Node: 145, Distance: 2, Path: 1 -> 95 -> 145
Processing Node: 146, Distance: 1, Path: 1 -> 146
Processing Node: 147, Distance: 3, Path: 1 -> 75 -> 8 -> 147
Processing Node: 148, Distance: 2, Path: 1 -> 2 -> 148
Processing Node: 149, Distance: 3, Path: 1 -> 155 -> 149
Processing Node: 150, Distance: 2, Path: 1 -> 154 -> 150
Processing Node: 151, Distance: 1, Path: 1 -> 151
Processing Node: 152, Distance: 2, Path: 1 -> 152
Processing Node: 153, Distance: 2, Path: 1 -> 154 -> 153
Processing Node: 154, Distance: 1, Path: 1 -> 154
Processing Node: 155, Distance: 1, Path: 1 -> 155
Processing Node: 156, Distance: 2, Path: 1 -> 156
Processing Node: 157, Distance: 3, Path: 1 -> 75 -> 8 -> 157
Processing Node: 158, Distance: 1, Path: 1 -> 158
Processing Node: 159, Distance: 2, Path: 1 -> 67 -> 159
Processing Node: 160, Distance: 2, Path: 1 -> 817 -> 160
Processing Node: 161, Distance: 2, Path: 1 -> 2 -> 161
Processing Node: 162, Distance: 2, Path: 1 -> 154 -> 162
Processing Node: 163, Distance: 2, Path: 1 -> 96 -> 163
Processing Node: 164, Distance: 3, Path: 1 -> 2 -> 164
Processing Node: 165, Distance: 2, Path: 1 -> 38 -> 165
Processing Node: 166, Distance: 2, Path: 1 -> 68 -> 166
Processing Node: 167, Distance: 3, Path: 1 -> 29 -> 33 -> 167
Processing Node: 168, Distance: 3, Path: 1 -> 72 -> 24 -> 168
Processing Node: 169, Distance: 2, Path: 1 -> 75 -> 169
Processing Node: 170, Distance: 2, Path: 1 -> 370 -> 170
Processing Node: 171, Distance: 3, Path: 1 -> 2 -> 43 -> 171
Processing Node: 172, Distance: 2, Path: 1 -> 95 -> 172
Processing Node: 173, Distance: 2, Path: 1 -> 42 -> 173
Processing Node: 174, Distance: 1, Path: 1 -> 174
Processing Node: 175, Distance: 1, Path: 1 -> 175
Processing Node: 176, Distance: 2, Path: 1 -> 491 -> 176
Processing Node: 177, Distance: 2, Path: 1 -> 42 -> 177
Processing Node: 178, Distance: 1, Path: 1 -> 178
Processing Node: 179, Distance: 1, Path: 1 -> 179
Processing Node: 180, Distance: 3, Path: 1 -> 96 -> 498 -> 180
Processing Node: 181, Distance: 2, Path: 1 -> 42 -> 181
Processing Node: 182, Distance: 2, Path: 1 -> 507 -> 182
Processing Node: 183, Distance: 2, Path: 1 -> 725 -> 183
