Minimum Spanning Tree (MST) using Kruskal's Algorithm:
Edge: 1 - 29, Weight: 1
Edge: 1 - 30, Weight: 1
Edge: 1 - 42, Weight: 1
Edge: 1 - 67, Weight: 1
Edge: 1 - 68, Weight: 1
Edge: 1 - 72, Weight: 1
Edge: 1 - 76, Weight: 1
Edge: 1 - 90, Weight: 1
Edge: 1 - 115, Weight: 1
Edge: 1 - 116, Weight: 1
Edge: 1 - 117, Weight: 1
Edge: 1 - 124, Weight: 1
Edge: 1 - 154, Weight: 1
Edge: 1 - 158, Weight: 1
Edge: 1 - 174, Weight: 1
Edge: 1 - 178, Weight: 1
Edge: 1 - 179, Weight: 1
Edge: 1 - 194, Weight: 1
Edge: 1 - 214, Weight: 1
Edge: 1 - 222, Weight: 1
Edge: 1 - 231, Weight: 1
Edge: 1 - 247, Weight: 1
Edge: 1 - 249, Weight: 1
Edge: 1 - 250, Weight: 1
Edge: 1 - 258, Weight: 1
Edge: 1 - 260, Weight: 1
Edge: 1 - 264, Weight: 1
Edge: 1 - 276, Weight: 1
Edge: 1 - 290, Weight: 1
Edge: 1 - 291, Weight: 1
Edge: 1 - 292, Weight: 1
Edge: 1 - 296, Weight: 1
Edge: 1 - 300, Weight: 1
Edge: 1 - 301, Weight: 1
Edge: 1 - 304, Weight: 1
Edge: 1 - 305, Weight: 1
Edge: 1 - 331, Weight: 1
Edge: 1 - 347, Weight: 1
Edge: 1 - 373, Weight: 1
Edge: 1 - 395, Weight: 1
Edge: 1 - 432, Weight: 1
Edge: 1 - 439, Weight: 1
Edge: 1 - 455, Weight: 1
Edge: 1 - 483, Weight: 1
Edge: 1 - 491, Weight: 1
Edge: 1 - 503, Weight: 1
Edge: 1 - 507, Weight: 1
Edge: 1 - 517, Weight: 1
Edge: 1 - 523, Weight: 1
Edge: 1 - 534, Weight: 1
Edge: 1 - 543, Weight: 1
Edge: 1 - 545, Weight: 1
Edge: 1 - 587, Weight: 1
Edge: 1 - 596, Weight: 1
Edge: 1 - 613, Weight: 1
Edge: 1 - 623, Weight: 1
Edge: 1 - 636, Weight: 1
Edge: 1 - 683, Weight: 1
Edge: 1 - 697, Weight: 1
Edge: 1 - 701, Weight: 1
Edge: 1 - 709, Weight: 1
Edge: 1 - 712, Weight: 1
Edge: 1 - 725, Weight: 1
Edge: 1 - 734, Weight: 1
Edge: 1 - 744, Weight: 1
Edge: 1 - 747, Weight: 1
Edge: 1 - 753, Weight: 1
Edge: 1 - 796, Weight: 1
Edge: 1 - 810, Weight: 1
Edge: 1 - 817, Weight: 1
Edge: 1 - 846, Weight: 1
Edge: 1 - 874, Weight: 1
Edge: 1 - 891, Weight: 1
Edge: 1 - 944, Weight: 1
Edge: 1 - 951, Weight: 1
Edge: 1 - 955, Weight: 1
Edge: 1 - 994, Weight: 1
Edge: 1 - 1024, Weight: 1
Edge: 1 - 1025, Weight: 1
Edge: 1 - 1029, Weight: 1
Edge: 1 - 1034, Weight: 1
Edge: 1 - 1043, Weight: 1
Edge: 1 - 1051, Weight: 1
Edge: 1 - 1065, Weight: 1
Edge: 1 - 1066, Weight: 1
Edge: 1 - 1072, Weight: 1
Edge: 1 - 1117, Weight: 1
Edge: 1 - 1128, Weight: 1
Edge: 1 - 1129, Weight: 1
Edge: 1 - 1136, Weight: 1
Edge: 1 - 1147, Weight: 1
Edge: 1 - 1148, Weight: 1
Edge: 1 - 1167, Weight: 1
Edge: 1 - 1186, Weight: 1
Edge: 1 - 1195, Weight: 1
Edge: 1 - 1197, Weight: 1
Edge: 1 - 1232, Weight: 1
Edge: 1 - 1248, Weight: 1
Edge: 1 - 1251, Weight: 1
Edge: 1 - 1282, Weight: 1
Edge: 1 - 1283, Weight: 1
Edge: 1 - 1284, Weight: 1
Edge: 1 - 1285, Weight: 1
Edge: 1 - 1288, Weight: 1
Edge: 1 - 1290, Weight: 1
Edge: 1 - 1302, Weight: 1
Edge: 1 - 1309, Weight: 1
Edge: 1 - 1313, Weight: 1
Edge: 1 - 1318, Weight: 1
Edge: 1 - 1320, Weight: 1
Edge: 1 - 1331, Weight: 1
Edge: 1 - 1336, Weight: 1
Edge: 1 - 1337, Weight: 1
Edge: 1 - 1339, Weight: 1
Edge: 1 - 1340, Weight: 1
Edge: 1 - 1342, Weight: 1
Edge: 1 - 1356, Weight: 1
Edge: 1 - 1365, Weight: 1
Edge: 1 - 1382, Weight: 1
Edge: 1 - 1413, Weight: 1
Edge: 1 - 1436, Weight: 1
Edge: 1 - 1442, Weight: 1
Edge: 1 - 1457, Weight: 1
Edge: 1 - 1458, Weight: 1
Edge: 1 - 1465, Weight: 1
Edge: 1 - 1475, Weight: 1
Edge: 1 - 1482, Weight: 1
Edge: 1 - 1483, Weight: 1
Edge: 1 - 1491, Weight: 1
Edge: 1 - 1492, Weight: 1
Edge: 1 - 1494, Weight: 1
Edge: 1 - 1500, Weight: 1
Edge: 1 - 1502, Weight: 1
Edge: 1 - 1505, Weight: 1
Edge: 1 - 1510, Weight: 1
Edge: 1 - 1520, Weight: 1
Edge: 1 - 1521, Weight: 1
Edge: 1 - 1522, Weight: 1
Edge: 1 - 1525, Weight: 1
Edge: 1 - 1542, Weight: 1
Edge: 1 - 1574, Weight: 1
Edge: 1 - 1579, Weight: 1
Edge: 1 - 1589, Weight: 1
Edge: 1 - 1590, Weight: 1
Edge: 1 - 1708, Weight: 1
Edge: 1 - 1715, Weight: 1
Edge: 1 - 1720, Weight: 1
Edge: 1 - 1736, Weight: 1
Edge: 1 - 1742, Weight: 1
Edge: 1 - 1749, Weight: 1
Edge: 1 - 1750, Weight: 1
Edge: 1 - 1793, Weight: 1
Edge: 1 - 1796, Weight: 1
Edge: 1 - 1812, Weight: 1
Edge: 1 - 1822, Weight: 1
Edge: 1 - 1826, Weight: 1
Edge: 1 - 1835, Weight: 1
Edge: 1 - 1839, Weight: 1
Edge: 1 - 1840, Weight: 1
Edge: 1 - 1842, Weight: 1
Edge: 1 - 1843, Weight: 1
Edge: 1 - 1846, Weight: 1
Edge: 1 - 1847, Weight: 1
Edge: 1 - 1856, Weight: 1
Edge: 1 - 1862, Weight: 1
Edge: 1 - 1875, Weight: 1
Edge: 1 - 1885, Weight: 1
Edge: 1 - 1886, Weight: 1
Edge: 1 - 1900, Weight: 1
Edge: 1 - 1923, Weight: 1
Edge: 1 - 1942, Weight: 1
Edge: 1 - 2065, Weight: 1
Edge: 1 - 2090, Weight: 1
Edge: 1 - 2093, Weight: 1
Edge: 1 - 2102, Weight: 1
Edge: 1 - 2108, Weight: 1
Edge: 1 - 2109, Weight: 1
Edge: 1 - 2117, Weight: 1
Edge: 1 - 2119, Weight: 1
Edge: 1 - 2127, Weight: 1
Edge: 1 - 2129, Weight: 1
Edge: 1 - 2136, Weight: 1
Edge: 1 - 2144, Weight: 1
Edge: 1 - 2147, Weight: 1
Edge: 1 - 2152, Weight: 1
Edge: 1 - 2163, Weight: 1
Edge: 1 - 2166, Weight: 1
Edge: 1 - 2173, Weight: 1
Edge: 1 - 2176, Weight: 1
Edge: 1 - 2177, Weight: 1
Edge: 1 - 2178, Weight: 1
Edge: 1 - 2181, Weight: 1
Edge: 1 - 2185, Weight: 1
Edge: 1 - 2198, Weight: 1
Edge: 1 - 2217, Weight: 1
Edge: 1 - 2235, Weight: 1
Edge: 1 - 2252, Weight: 1
Edge: 1 - 2261, Weight: 1
Edge: 1 - 2271, Weight: 1
Edge: 1 - 2273, Weight: 1
Edge: 1 - 2276, Weight: 1
Edge: 1 - 2281, Weight: 1
Edge: 1 - 2305, Weight: 1
Edge: 1 - 2315, Weight: 1
Edge: 1 - 2324, Weight: 1
Edge: 1 - 2338, Weight: 1
Edge: 1 - 2342, Weight: 1
Edge: 1 - 2351, Weight: 1
Edge: 1 - 2352, Weight: 1
Edge: 1 - 2368, Weight: 1
